caseid,caseid_13,caseid_14,caseid_15,brow13_participant,brow14_participant,brow15_participant,weight_RI,q60_treat,q115_treat,q1,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q113,q114_1,q114_2,q114_3,q114_4,q114_5,q114_6,q6,q7,q100,q8,q101,q9,q102,q10,q103,q103_free_response,q14,q14_t,q116,q104,q104_free_response,q105,q106,q56_1,q56_2,q56_3,q56_4,q56_5,q56_6,q56_7,q56_8,q56_9,q56_10,q56_11,q56_12,q56_13,q107,q108,q23_1,q23_2,q23_3,q23_4,q23_5,q23_11,q23_7,q23_8,q23_9,q23_12,q23_10,q23_follow_up,q25,q26,q18,q58_1,q58_2,q58_3,q58_4,q58_5,q58_6,q58_7,q58_8,q59_1,q59_2,q59_3,q59_4,q59_5,q59_6,q60_1,q60_2,q60_3,q60_4,q61,q20,q53,q21,q22,q109,q110,q111,q112,q29,q29_why_not,q30,q32,q33,q36,q46,q115_family,q115_community,genhealth,insurtype_multiple_1,insurtype_multiple_2,insurtype_multiple_3,insurtype_multiple_4,insurtype_multiple_5,insurtype_multiple_99,pp_smoke100,birthyr,gender_client,race,educ,marstat,employ,faminc_new,pid3,pid7,presvote16post,turnout20post,presvote20post,inputzip,county_RI,inputstate,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,both
1298002589,1178418551,1241573941,1266403801,1,1,1,.383178788860607,1,2,5,2,2,2,2,2,1,3,2,1,2,1,2,2,4,5,5,5,5,5,5,1,2,dont want to get sick,15,__NA__,1,9,__NA__,4,2,2,1,1,1,2,2,2,2,2,2,2,2,2,4,4,5,5,1,1,5,5,1,1,1,3,1,__NA__,4,2,5,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,4,6,300000,60,20,2,2,25,25,6,__NA__,4,1,5,2,2,9,2,2,1,2,2,2,2,2,2,1972,1,1,5,1,1,12,3,3,7,1,1,2904,7,44,1,3,1,2,4,2,3,6,12/12/2020 5:53:20,12/12/2020 6:09:56,1
1297931617, ,1238569791,1268383473,2,1,1,.616891799498407,2,1,5,2,2,2,2,2,1,2,2,2,2,2,2,1,4,2,2,5,2,4,4,2,3, ,21,Working from home (Technology),1,9,__NA__,4,1,2,1,1,2,2,2,2,2,1,2,2,2,2,4,5,5,5,1,1,5,4,1,2,1,3,1,__NA__,6,2,5,5,5,5,5,5,5,4,4,3,2,2,2,1,3,5,5,5,4,1,2,275000,27,8,2,2,13,10,6,__NA__,6,2,9,1,2,2,9,1,1,2,2,2,2,2,1,1964,2,1,4,1,1,12,3,3,1,1,1,2852,9,44,1,3,1,2,2,2,1,1,12/12/2020 6:05:56,12/12/2020 6:17:30,1
1297691417, ,1241573937,1265109679,2,1,1,.588282312028111,2,1,4,2,2,2,2,2,1,4,9,9,9,9,9,9,5,5,5,5,5,5,3,1,4,Risk is too high,21,3rd party technical support,2,3,75% of my job is hands on,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,4,1,1,5,4,1,2,1,3,1,__NA__,5,1,4,4,4,4,3,3,3,2,2,4,2,3,1,2,3,6,4,5,5,5,3,300000,61,32,2,2,9,14,6,__NA__,6,2,9,1,2,1,9,4,1,2,2,2,2,2,2,1972,2,1,5,5,1,6,1,1,1,1,1,2895,7,44,1,2,2,12,6,2,4,1,12/12/2020 7:43:35,12/12/2020 7:57:20,1
1298146945, , ,1266066407,2,2,1,.462403712739214,1,2,5,2,2,2,2,2,1,4,9,9,9,9,9,9,5,5,5,5,5,5,4,2,4,Because of the pandemic and because it's very difficult to eat indoors,1,__NA__,9,9,__NA__,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,3,1,1,2,2,1,3,1,2,2,__NA__,4,1,1,4,4,4,4,4,4,5,5,3,3,1,1,1,1,4,5,5,5,1,5,1000000000,25,65,2,2,43,22,6,__NA__,4,2,9,1,2,9,2,2,1,1,2,2,2,2,2,1950,2,1,3,3,5,1,1,1,1,1,1,2903,7,44,1,1,1,1,5,2,2,2,12/12/2020 8:57:13,12/12/2020 9:10:22,1
1298104365, , , ,2,2,2,.739331026341427,2,2,5,2,2,2,2,2,1,4,9,9,9,9,9,9,5,5,5,5,5,5,5,1,4,Afraid,12,__NA__,2,3,Stay away from people at work,4,3,1,2,1,1,2,2,2,2,2,2,2,2,2,4,5,5,5,1,1,1,5,5,5,1,5,1,__NA__,2,2,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,7,7,7,7,1,6,300000,20,50,2,2,3,6,6,__NA__,6,2,9,2,2,9,1,2,1,2,2,2,2,2,1,1958,1,1,4,1,1,9,2,7,2,1,2,2904,7,44,1,5,1,2,2,2,1,4,12/12/2020 9:23:31,12/12/2020 9:36:38, 
1297720329, ,1235466669,1264595085,2,1,1,.408558230917467,1,2,5,2,2,2,2,2,1,4,9,9,9,9,9,9,5,5,5,5,5,5,3,2,4,Concerned about virus,1,__NA__,9,9,__NA__,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,5,2,1,4,3,1,3,2,3,1,__NA__,6,2,4,4,4,3,3,4,4,4,3,3,2,3,2,2,2,5,4,4,5,1,3,300000,13,13,2,2,23,4,6,__NA__,6,2,9,1,2,9,2,3,2,1,2,2,2,2,1,1934,2,1,5,3,5,12,1,1,1,1,1,2879,9,44,1,2,1,12,6,2,4,3,12/12/2020 11:08:25,12/12/2020 11:24:14,1
1297967737,1178479191,1241263265, ,1,1,2,1.06887214376166,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,5,3,3,5,1,5,4,4,2,Covid,21,Disabled,2,3,I don’t work,3,3,2,2,2,1,1,2,2,2,2,1,2,2,2,5,4,5,2,4,1,5,3,2,4,2,3,2,"Pain, being told I have it",3,1,2,3,3,3,3,3,4,3,3,5,4,4,4,3,3,2,3,4,5,5,2,75000,54,60,1,3,63,63,1,I don’t want to know,1,2,9,1,2,9,2,4,2,1,2,2,2,2,1,1988,2,2,4,5,6,1,3,4,7,1,1,2909,7,44,1,3,2,11,6,2,4,7,12/12/2020 11:35:05,12/12/2020 11:49:44, 
1298009181,1178477701,1235635605,1266803241,1,1,1,1.23804241376534,2,1,5,2,2,2,2,2,1,2,2,1,1,1,2,2,5,5,5,5,2,5,4,1,2,Don’t feel safe eating indoors,1,__NA__,9,9,__NA__,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,4,5,5,4,1,1,5,4,1,2,1,3,1,__NA__,6,1,5,5,5,5,4,4,4,4,4,2,2,2,2,1,3,6,5,5,5,1,5,280000000,13,4,2,2,3,8,6,__NA__,5,2,9,1,2,1,9,1,2,1,2,2,2,2,2,1938,1,1,6,1,5,97,1,1,1,1,1,2852,9,44,1,1,1,1,2,2,1,2,12/12/2020 12:26:09,12/12/2020 12:42:57,1
1297848627,1178598829,1241366003,1265721995,1,1,1,.911439504891515,1,1,3,2,2,2,2,2,1,4,9,9,9,9,9,9,5,5,5,5,5,5,5,3,2,they are closed,21,homemaker,1,9,__NA__,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,3,4,4,4,2,3,3,3,4,3,2,3,2,__NA__,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,7,220000,25,0,2,2,50,25,2,__NA__,4,1,6,2,2,2,9,3,2,2,1,2,2,2,2,1962,2,1,5,1,7,8,3,4,7,1,2,2879,9,44,1,3,2,11,5,2,3,7,12/12/2020 12:36:43,12/12/2020 12:48:31,1
1298284959,1178399693,1243563165,1264424539,1,1,1,1.206897215826,2,2,5,1,2,2,2,2,2,4,9,9,9,9,9,9,5,4,4,5,3,4,4,3,3,We usually get takeout,1,__NA__,9,9,__NA__,4,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,4,5,3,1,1,5,4,2,1,2,3,1,__NA__,2,2,1,4,4,4,4,4,4,3,4,4,3,4,1,1,1,6,4,4,5,1,5,300000,50,18,2,2,27,48,6,__NA__,2,1,5,2,2,9,1,3,1,2,2,2,2,2,2,1974,2,1,6,1,4,10,1,2,1,1,1,2832,9,44,1,2,2,11,6,2,4,7,12/12/2020 12:38:57,12/12/2020 12:50:09,1
