row_id,sample,outcome.x,q60_1,q60_2,q60_3,q60_4,q60_5,q60_6,q60_7,q25_new,ideo5,dem_rep_oth,age,female,race_new,faminc_new,educ,trust_in_govt,trust_in_science,covid_subj_know,relig_scale,faminc_new.NA,faminc_new_Imp,percdist,q60_1_rank,q60_2_rank,q60_3_rank,q60_4_rank,q60_5_rank,q60_6_rank,q60_7_rank,q25_new_rank,avg_perc_rank,covmh,ps,orig_id,id.x,bm,match_id,rankperc,grp,id.y,outcome.y,q22,q59_1,outcome,q60_1a,q60_2a,q60_3a,q60_4a,q60_5a,q60_6a,q60_7a,q60_ingroup,q60_outgroup,q60_1a_rank,q60_2a_rank,q60_3a_rank,q60_4a_rank,q60_5a_rank,q60_6a_rank,q60_7a_rank,outcome_rank,q22_rank,q59_1_rank,q59_1_rank_inv
1153,1,1,5,4,5,5,6,4,5,2,3,3,27,1,1,5,3,2.6666666666666665,5,3,0.04091966607362801,0,5,1.3174664784014158,658.5,483.5,835,836,953.5,723.5,821,843,758.7142857142857,10.218872674575568,806.6016869127544,3,1153,45,1152,0,0,1153,1,5,2,1,4,3,4,4,5,3,4,NA,NA,1,0,0,0.5,0.5,0.5,1,1,0,0,1
65,1,0,3,4,3,2,4,4,3,4,3,1,36,1,2,1,3,2,4,1,0.9199397837689887,0,1,9.981623444307226,272,483.5,161.5,65,239,723.5,184,1263,304.07142857142856,7.69587034890457,610.1542741392904,3,65,46,65,0,1,65,0,48,3,0,2,3,2,1,3,3,2,3,3,1,1,0,0,0,1,1,0.5,0,1,0
1479,1,0,2,2,5,6,6,2,2,2,4,1,42,1,2,2,2,1.6666666666666667,3.5,3,0.1929656493773094,0,2,22.914354499576984,155.5,120.5,835,1278.5,953.5,138,94.5,843,510.7857142857143,5.3445390189263335,614.7361246398829,4,1479,46,1476,1,0,1479,0,75,1,0,1,1,4,5,5,1,1,5,1,0,0,1,1,1,0,0,0.5,1,0,1
68,2,1,4,5,4,3,4,4,4,4,4,2,30,0,1,7,6,2,2.5,4,0.3071027781579307,0,7,5.785366317790896,438.5,838,411,133,239,723.5,432.5,1263,459.35714285714283,7.888489768262805,607.8262616073389,4,68,47,68,0,1,68,1,23,3,1,3,4,3,2,3,3,3,3,3,1,0.5,0.5,0,0,0.5,0.5,1,0,0,1
1056,1,0,3,5,4,4,6,4,4,2,4,2,32,0,1,5,5,1.6666666666666667,3,4,0.04091966607362801,0,5,6.075338759644168,272,838,411,372,953.5,723.5,432.5,843,571.7857142857143,7.481855992253049,651.117861866164,4,1056,47,1055,1,0,1056,0,50,4,0,2,4,3,3,5,3,3,3,5,0,0.5,0.5,1,1,0.5,0.5,0,1,1,0
73,2,1,6,6,6,6,6,6,6,2,5,2,66,1,1,7,6,2,4,3,0.2425071848912002,0,7,2.1404335480483634,984.5,1211,1255,1278.5,953.5,1339,1208.5,843,1175.7142857142858,7.749381183794333,837.697834700476,5,73,48,73,1,1,73,1,25,3,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0.5,0,0,1
753,1,1,5,2,4,4,4,4,2,2,4,2,63,1,1,7,6,2,4,2,0.3065553578760092,0,7,14.410820523436957,658.5,120.5,411,372,239,723.5,94.5,843,374.14285714285717,8.504706689757471,823.31800082351,4,753,48,752,0,0,753,1,29,4,1,4,1,3,3,3,3,1,3,3,0,0,0,0,0,0,0,0.5,1,1,0
74,2,1,7,6,6,6,6,5,6,2,3,3,27,0,1,10,6,3,4.5,4,0.9199397837689887,0,10,1.751435002606952,1356,1211,1255,1278.5,953.5,1125.5,1208.5,843,1198.2857142857142,9.315242837609036,896.4821811863275,3,74,49,74,1,1,74,1,2,2,1,6,5,5,5,5,4,5,NA,NA,1,1,0.5,0.5,1,0.5,0.5,0.5,0,0,1
390,1,1,6,5,6,6,5,5,6,7,3,3,31,0,1,10,6,3.3333333333333335,4.5,5,0.545093745723279,0,10,4.010335061436925,984.5,838,1255,1278.5,475,1125.5,1208.5,1466,1023.5714285714286,9.790316715469068,972.5844027598464,3,390,49,390,0,0,390,1,77,4,1,5,4,5,5,4,4,5,NA,NA,0,0,0.5,0.5,0,0.5,0.5,0.5,1,1,0
75,2,0,5,4,4,5,6,2,4,1,2,3,47,0,1,2,4,2,4,3,0.9199397837689887,0,2,5.213980332141306,658.5,483.5,411,836,953.5,138,432.5,302,559,5.839845084893521,692.0351413545095,2,75,50,75,1,1,75,0,51,3,0,4,3,3,4,5,1,3,NA,NA,1,0.5,0.5,1,1,0,1,0.5,0,0,1
270,1,0,2,4,4,4,4,4,3,2,3,3,51,0,1,3,2,2.3333333333333335,3.5,2,0.8282468865471464,0,3,4.987254131760011,155.5,483.5,411,372,239,723.5,184,843,366.92857142857144,4.743994700183796,660.746453725797,3,270,50,270,0,0,270,0,66,4,0,1,3,3,3,3,3,2,NA,NA,0,0.5,0.5,0,0,1,0,0.5,1,1,0
