row_id,sample,outcome.x,q60_1,q60_2,q60_3,q60_4,q60_5,q60_6,q60_7,q25_new,caseid_BROW0017,caseid_BROW0016,caseid_BROW0015,caseid_BROW0014,caseid_BROW0013,caseid,ideo5,dem_rep_oth,age,female,race_new,faminc_new,educ,trust_in_govt,trust_in_science,covid_subj_know,relig_scale,faminc_new.NA,faminc_new_Imp,percdist,q60_1_rank,q60_2_rank,q60_3_rank,q60_4_rank,q60_5_rank,q60_6_rank,q60_7_rank,q25_new_rank,avg_perc_rank,covmh,ps,orig_id,id.x,bm,match_id,rankperc,grp,id.y,outcome.y,q22,q59_1,outcome,q60_1a,q60_2a,q60_3a,q60_4a,q60_5a,q60_6a,q60_7a,q60_ingroup,q60_outgroup,q60_1a_rank,q60_2a_rank,q60_3a_rank,q60_4a_rank,q60_5a_rank,q60_6a_rank,q60_7a_rank,outcome_rank,q22_rank,q59_1_rank,q59_1_rank_inv
596,2,1,6,6,5,5,5,5,5,2,1399290043,1297989903,1264787641,NA,1178466171,NA,3,3,35,1,1,11,5,2.3333333333333335,5,5,0.46147529765977824,0,11,2.3475755496646316,984.5,1211,835,836,475,1125.5,821,843,898.2857142857143,7.285780171391483,829.0048739121768,3,596,272,595,1,0,596,1,2,4,1,5,5,4,4,4,4,4,NA,NA,0.5,1,1,0.5,0,1,0.5,0.5,0,0.5,0.5
453,1,0,3,3,3,3,3,3,3,3,1397414829,NA,NA,NA,NA,NA,5,2,24,0,1,1,2,1,1.5,2,0.37895169016012037,0,1,3.13344911847793,272,238.5,161.5,133,107,328,184,1140.5,203.42857142857142,8.303568905485484,311.62677097551443,5,453,273,453,0,1,453,0,49,3,0,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0.5,0,0.5,1,0,1
579,1,0,2,4,4,4,6,3,4,1,1398318167,NA,NA,NA,NA,NA,5,2,31,0,1,1,3,1,1.5,5,0.3823730669221294,0,1,6.324936164754343,155.5,483.5,411,372,953.5,328,432.5,302,448,13.063449454780471,335.9401322235472,5,579,273,578,1,0,579,0,12,5,0,1,3,3,3,5,2,3,2,5,0,1,1,1,1,0.5,1,0.5,0,1,0
455,1,0,1,1,5,5,7,2,1,1,1397439299,NA,NA,NA,NA,NA,4,2,37,1,1,2,5,1.3333333333333333,2,2,0.5107431230327083,0,2,33.29707465628922,41,31,835,836,1400,138,29.5,302,472.92857142857144,8.935233412298036,495.135715353762,4,455,274,455,1,1,455,0,23,5,0,0,0,4,4,6,1,0,1,6,0.5,0,1,1,1,0.5,0,0.5,1,0.5,0.5
1391,1,0,1,2,4,4,6,2,2,1,1408112633,NA,NA,NA,NA,NA,4,2,31,1,1,1,4,1,2,3,0.4279458053920897,0,1,12.820107292143899,41,120.5,411,372,953.5,138,94.5,302,304.35714285714283,7.692434462617509,418.0847668172736,4,1391,274,1389,0,0,1391,0,5,5,0,0,1,3,3,5,1,1,1,5,0.5,1,0,0,0,0.5,1,0.5,0,0.5,0.5
457,1,1,6,6,5,5,6,4,5,2,1396844991,NA,NA,NA,NA,NA,2,1,60,0,2,4,3,3,5,4,0.04091966607362801,0,4,1.7810120559234999,984.5,1211,835,836,953.5,723.5,821,843,909.2142857142857,6.857992398291292,934.9010230393019,2,457,275,457,0,1,457,1,11,3,1,5,5,4,4,5,3,4,5,3,0.5,0.5,0,0,0.5,0,0,0.5,0,0.5,0.5
1176,1,1,6,6,6,6,6,6,6,7,1403763913,NA,NA,NA,NA,NA,1,1,63,0,2,6,2,3,5,4,0.1929656493773094,0,6,2.140433548048363,984.5,1211,1255,1278.5,953.5,1339,1208.5,1466,1175.7142857142858,8.87589808697413,933.6516121478181,1,1176,275,1175,1,0,1176,1,51,3,1,5,5,5,5,5,5,5,5,5,0.5,0.5,1,1,0.5,1,1,0.5,1,0.5,0.5
458,2,1,6,6,6,6,6,4,5,2,1397462905,1298218639,1264521923,1235653453,1178418543,NA,2,3,64,0,1,8,6,2.3333333333333335,5,4,0.42821951553305043,0,8,2.386280602433181,984.5,1211,1255,1278.5,953.5,723.5,821,843,1032.4285714285713,4.4663374201944075,911.1183005353055,2,458,276,458,1,1,458,1,2,3,1,5,5,5,5,5,3,4,NA,NA,0,0.5,1,1,0.5,0.5,0,0.5,0,0,1
1451,1,1,7,6,5,5,6,4,6,1,1407449163,NA,NA,NA,NA,NA,1,3,65,0,1,9,6,2.3333333333333335,5,4,0.9199397837689887,0,9,2.8849166830872535,1356,1211,835,836,953.5,723.5,1208.5,302,1017.6428571428571,7.078238864147675,953.5936258942749,1,1451,276,1448,0,0,1451,1,10,5,1,6,5,4,4,5,3,5,NA,NA,1,0.5,0,0,0.5,0.5,1,0.5,1,1,0
462,2,0,4,5,5,5,7,7,7,1,1397579847,NA,NA,NA,NA,NA,5,2,72,1,1,2,2,2,5,5,0.31462980703435056,0,2,10.449285680182022,438.5,838,835,836,1400,1465,1450,302,1037.5,13.844638896317553,834.9578691153547,5,462,277,462,0,1,462,0,16,4,0,3,4,4,4,6,6,6,6,6,0,0,0,0,0.5,0.5,0.5,0,1,0.5,0.5
